,phonetics_id,names,phonetics
5190,5190,dharmasaroja,tah-mah-sah-ROH
5191,5191,dhoinine,dwah-hee-NEE-nee
5192,5192,dhorbenadze,johr-beh-NAHD-zeh
5193,5193,diaconescu,dee-ah-koh-NEHS-koo
5195,5195,diarra,dee-AIR-ah
5196,5196,dias,DEE-ahsh
5197,5197,dias,DEE-AHSS
5198,5198,dichter,DIHK-tehr
5199,5199,diemu,DYEH-moo
5200,5200,dienstbier,DEENST-beer
5201,5201,diepgen,DEEP-ghehn
5202,5202,diiulio,dee-OO-lee-oh
5203,5203,dimon,D-EYE-muhn
5204,5204,dini,DEE-nee
5205,5205,dink,DEENK
5206,5206,dinkic,DEEN-kihch
5207,5207,diogo,dee-OH-goh
5208,5208,dion,dee-OH(n)
5209,5209,diop,JAHP
5210,5210,diouf,D-YOO-F
5211,5211,dirani,dee-RAH-nee
5212,5212,dirceu,DEER-say-oo
5213,5213,diskin,DIHS-kihn
5214,5214,diya,DEE-yah
5215,5215,djaanfari,JAHN-fahr
5216,5216,djaballah,JAH-bah-lah
5217,5217,djalil,jah-LEEL
5218,5218,djelic,JEH-leech
5219,5219,djeric,JEH-rihch
5221,5221,djibo,jih-BOH
5222,5222,djibril,jeh-BRIHL
5223,5223,djindjic,JIHN-jihch
5225,5225,djogo,JOH-goh
5226,5226,djordjevic,JOHR-jeh-vihch
5228,5228,djotodia,joh-toh-JAH
5229,5229,djoudi,JOO-dee
5230,5230,djue,doo-EE
5231,5231,djukanovic,joo-KAHN-oh-vihch
5232,5232,djuric,JOOR-ihch
5233,5233,djurovic,JOO-roh-vihch
5234,5234,dlakhama,L-YAH-kah-meh
5235,5235,dlamini,dlah-MEE-nee
5236,5236,dmitriyev,dih-MEE-tree-yehf
5237,5237,dodik,DOH-dihk
5238,5238,dogan,DAW-ahn
5239,5239,dogru,DAW-roo
5240,5240,doh,DOH
5241,5241,dokmanovic,dawk-MAH-noh-vihch
5242,5242,domazet,DOH-mah-zeht
5243,5243,dombrovskis,dohm-BROHV-skihs
5244,5244,domenici,doh-MEHN-ih-chee
5245,5245,dorogin,doh-roh-GHEEN
5246,5246,dosanjh,doh-SAHNJ
5247,5247,dosen,DOH-zhehn
5248,5248,doue,DOO-A
5249,5249,doumbia,DOOM-bee-ah
5250,5250,dowiyogo,doo-WEE-oh-goh
5251,5251,draghi,DRAHG-ee
5252,5252,draskovic,DRAHSH-koh-vihch
5253,5253,draskovics,DRAHS-koh-vihch
5254,5254,dreifuss,DRY-foos
5255,5255,drljevic,DEHR-lyeh-vihch
5256,5256,drnovsek,dehr-NOHV-shehk
5257,5257,droutsas,TH-ROOT-sahs
5258,5258,dubcek,DOOB-chehk
5259,5259,dubinin,doo-BEEN-yehn
5260,5260,dubov,DOO-bawf
5261,5261,dubyna,doo-BEE-nah
5262,5262,ducic,DOO-chihch
5263,5263,dudakovic,DOO-dah-koh-vihch
5264,5264,dudau,doo-DOW
5265,5265,dudayev,doo-DAH-yehf
5266,5266,duelfer,DUHL-fehr
5267,5267,duhalde,doo-WAHL-deh
5268,5268,dujana,doo-JAH-nah
5269,5269,dujarric,deh-ZHAH-reek
5270,5270,dulic,DOO-lihch
5271,5271,dumas,doo-MAHS
5272,5272,dumas,d-yew-MAH
5273,5273,dumic,DOO-meech
5274,5274,dunant,DEW-NAH
5275,5275,duncan,DUHN-kahn
5276,5276,dushebayev,doo-sheh-BAH-yehf
5277,5277,dutroux,dew-TROO
5278,5278,dutt,DUHT
5279,5279,duvalier,doo-vahl-YAY
5280,5280,duvanov,doo-VAH-nawf
5281,5281,duve,DOO-veh
5282,5282,dvorkovich,(d)VOOR-koh-vihch
5283,5283,dweh,doo-WEH
5284,5284,dyck,D-EYE-K
5285,5285,dyduch,DIH-dook
5286,5286,dzasokhov,zah-SOH-kawf
5287,5287,dzerzhinsky,(d)zehr-ZHIHN-skee
5288,5288,dzhabrailov,jah-brah-EE-lawf
5289,5289,dzhaparidze,jah-pah-REED-zeh
5290,5290,dzhemilev,zheh-mee-LAWF
5291,5291,dzhergeniya,jehr-GHEH-nee-ah
5292,5292,dzhgangava,jawng-HAH-vah
5293,5293,dzhioyev,zheh-OY-yehv
5833,5833,dzhokhtaberidze,jawk-tah-BEH-reet-zeh
5834,5834,dzidziguri,zihd-zih-GOOR-ih
5835,5835,dziwisz,JEE-veesh
5836,5836,dzurinda,(t)SOO-rihn-dah
7969,7969,ebadi,eh-baw-DEE
7970,7970,eban,EE-bahn
7971,7971,ebdane,ehb-DAH-nee
7972,7972,ebeid,eye-BEHD
7973,7973,ebtekar,ehb-teh-KAHR
7974,7974,ecevit,EH-jeh-viht
7975,7975,edano,eh-DAH-noh
7976,7976,edris,EH-drihs
7977,7977,eduard,ehd-WAHR
7978,7978,egeland,EHG-eh-lehn
7979,7979,eichel,EYE-kehl
7980,7980,eid,ah-EET
7981,7981,eide,EYE-dah
7982,7982,eido,EE-doh
7983,7983,eiland,a-LAHND
7984,7984,eitam,a-TAHM
7985,7985,ejercito,a-HAIR-see-toh
7986,7986,ejupi,a-YOO-pee
7987,7987,ekeus,a-KAY-oos
7988,7988,ekwueme,ehk-WAY-meh
7989,7989,elaraby,ehl-AH-rah-bee
7990,7990,elchibey,ehl-chee-BAY
7991,7991,elenovski,eh-LAY-nohv-skee
